"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"173","The Insidious Dr. Fu Manchu","Sax Rohmer","","https://en.wikipedia.org/wiki/The_Mystery_of_Dr._Fu-Manchu","1913"
"174","The Picture of Dorian Gray","Oscar Wilde","","https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray","1890"
"175","The Phantom of the Opera","Gaston Leroux","","https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(novel)","1909"
"176","Roderick Hudson","Henry James","","https://en.wikipedia.org/wiki/Roderick_Hudson","1875"
"177","The American","Henry James","","https://en.wikipedia.org/wiki/The_American_(novel)","1877"
"178","Confidence","Henry James","","https://en.wikipedia.org/wiki/Confidence_(novel)","1879"
"179","The Europeans","Henry James","","https://en.wikipedia.org/wiki/The_Europeans","1878"
"180","The 1994 CIA World Factbook","United States. Central Intelligence Agency","","https://en.wikipedia.org/wiki/The_World_Factbook","1962"
"201","Flatland: A Romance of Many Dimensions","Edwin Abbott Abbott","","https://en.wikipedia.org/wiki/Flatland","1884"
"202","My Bondage and My Freedom","Frederick Douglass","","https://en.wikipedia.org/wiki/My_Bondage_and_My_Freedom","1855"
"207","The Spell of the Yukon and Other Verses","Robert W. Service","","https://en.wikipedia.org/wiki/Songs_of_a_Sourdough","1907"
"208","Daisy Miller: A Study","Henry James","","https://en.wikipedia.org/wiki/Daisy_Miller","1879"
"209","The Turn of the Screw","Henry James","","https://en.wikipedia.org/wiki/The_Turn_of_the_Screw","1898"
"211","The Aspern Papers","Henry James","","https://en.wikipedia.org/wiki/The_Aspern_Papers","1888"
"213","The Man from Snowy River","A. B. Paterson","","https://en.wikipedia.org/wiki/The_Man_from_Snowy_River_(poem)","1890"
"214","In the Days When the World Was Wide, and Other Verses","Henry Lawson","","https://en.wikipedia.org/wiki/In_the_Days_When_the_World_was_Wide_and_Other_Verses","1896"
"215","The call of the wild","Jack London","","https://en.wikipedia.org/wiki/The_Call_of_the_Wild","1903"
"217","Sons and Lovers","D. H. Lawrence","","https://en.wikipedia.org/wiki/Sons_and_Lovers","1913"
"219","Heart of Darkness","Joseph Conrad","","https://en.wikipedia.org/wiki/Heart_of_Darkness","1899"
"220","The Secret Sharer","Joseph Conrad","","https://en.wikipedia.org/wiki/The_Secret_Sharer","1910"
"221","The Return of Sherlock Holmes","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Return_of_Sherlock_Holmes","1905"
"222","The Moon and Sixpence","W. Somerset Maugham","","https://en.wikipedia.org/wiki/The_Moon_and_Sixpence","1919"
"224","A pair of blue eyes","Thomas Hardy","","https://en.wikipedia.org/wiki/A_Pair_of_Blue_Eyes","1873"
"225","At the Back of the North Wind","George MacDonald","","https://en.wikipedia.org/wiki/At_the_Back_of_the_North_Wind","1871"
"233","Sister Carrie: A Novel","Theodore Dreiser","","https://en.wikipedia.org/wiki/Sister_Carrie","1900"
"234","Child Christopher and Goldilind the Fair","William Morris","","https://en.wikipedia.org/wiki/Child_Christopher_and_Goldilind_the_Fair","1895"
